id,picname,latitude,longitude,heading,pitch,zoom,title,date,rights,creator,description,other,xml_resource,photo_file,photo_file_resource,thumbnail_file,thumbnail_file_resource
55,1500055.png,22.997780,120.202428,136.60,-12.44,,赤崁樓,1935,國立臺灣圖書館,臺日社臺南支局出版《臺南市要覽》,1946年曾為「臺南市立歷史館」，收集三十多件石碑，另有清代石器數件、石馬等古物。海神廟與文昌閣之間的半月井，傳說建有地道，內藏珍寶、毒蛇，1990年在市府與學者探究挖掘之下，破解了多年來的傳聞。,,tnch1500055,tainan_old_photos/photos/055_1500055_赤崁樓.png,p_1500055,tainan_old_photos/thumbnails/055_1500055_赤崁樓.png,s_1500055
56,1500056.png,22.992490,120.204554,75.99,-11.48,,兒玉公園,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,位在市中心重要道路匯集之圓環，建於1911年，原名大正公園，當時設有總督兒玉源太郎雕像，又稱兒玉公園。戰後曾名「民生綠園」，1998年為紀念二二八事件在此遭槍決的湯德章律師，更名湯德章紀念公園，現為市定古蹟。,,tnch1500056,tainan_old_photos/photos/056_1500056_兒玉公園.png,p_1500056,tainan_old_photos/thumbnails/056_1500056_兒玉公園.png,s_1500056
57,1500057.png,22.991958,120.204921,86.14,-6.03,,兩廣會館（博物館）,1912-1926,中央研究院臺灣史研究所,費邁克集藏〈（臺南名所）兩廣會館（博物館）〉,博物蒐藏家柏木直平於1917年曾在此舉辦博物展覽會，後來1922年臺南神社擴建時，臺南州廳將原本位於神社的博物館遷移至兩廣會館展出，其中包含動植物標本、美術工藝品、原住民相關等等數千件展覽品與圖書。,,tnch1500057,tainan_old_photos/photos/057_1500057_兩廣會館（博物館）.png,p_1500057,tainan_old_photos/thumbnails/057_1500057_兩廣會館（博物館）.png,s_1500057
58,1500058.png,22.991864,120.204914,51.61,-3.27,,兩廣會館,1895-1945,中央研究院臺灣史研究所,費邁克集藏〈臺南‧異色ある兩廣會館〉,原稱嶺南公所，位於龍王廟附近，清代光緒初由臺灣鎮總兵吳光亮與福建巡撫岑毓英倡議，集粵東粵西同鄉出資改建，更名為兩廣會館，第四任總督兒玉源太郎曾在此與臺南士紳聚會，二戰時遭美軍轟炸損毀。,,tnch1500058,tainan_old_photos/photos/058_1500058_兩廣會館.png,p_1500058,tainan_old_photos/thumbnails/058_1500058_兩廣會館.png,s_1500058
59,1500059.png,22.992049,120.204927,130.21,-3.45,,臺南中學校假校舍,1914,中央研究院臺灣史研究所,臺灣寫真會發行《臺灣寫真帖》第參集,臺南廳曾於1908年在兩廣會館設立臺南幼稚園，後來又用於臺南廳財務課、防疫部、長生醫院、夜學會等種種辦公用途，1914年設立臺南中學校時，由於校舍尚未完工，因此暫時在此地授課，並兼作為中學校的職員宿舍。,,tnch1500059,tainan_old_photos/photos/059_1500059_臺南中學校假校舍.png,p_1500059,tainan_old_photos/thumbnails/059_1500059_臺南中學校假校舍.png,s_1500059
60,1500060.png,22.997450,120.212207,50.09,2.17,,蓬萊咖啡館,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,位於臺南車站前的蓬萊咖啡館，招牌寫著店內提供的各種食品飲料，如惠比壽啤酒、蜜豆等等，臺灣在1920年代中後期開始盛行喫茶店與咖啡店，當時為時髦新潮的聚會場所。,,tnch1500060,tainan_old_photos/photos/060_1500060_蓬萊咖啡館.png,p_1500060,tainan_old_photos/thumbnails/060_1500060_蓬萊咖啡館.png,s_1500060
61,1500061.png,22.987784,120.208288,274.92,-6.18,,延平郡王祠,1945-,中央研究院臺灣史研究所,費邁克集藏〈延平郡王祠〉,日治時期為開山神社，牌坊是戰後1947年白崇禧所題柱聯，1960年代由黃典權結合鄭成功傳說與事蹟修改，成為圖中「孤臣秉孤忠五馬奔江留取汗青垂宇宙，正人扶正義七鯤拓土莫將成敗論英雄」。,,tnch1500061,tainan_old_photos/photos/061_1500061_延平郡王祠.png,p_1500061,tainan_old_photos/thumbnails/061_1500061_延平郡王祠.png,s_1500061
62,1500062.png,22.986523,120.203604,135.39,-18.92,,放送局,1935,國立臺灣圖書館,臺日社臺南支局出版《臺南市要覽》,市定古蹟，建於1932年，日治時期全臺最南方的放送單位。建物坐南朝北與大南門相對，是臺灣建築邁向現代主義過渡風格的代表作品。戰後曾由中國廣播公司接管，現為臺南市南門電影書院，推動影像教育、影視文化產業。,,tnch1500062,tainan_old_photos/photos/062_1500062_放送局.png,p_1500062,tainan_old_photos/thumbnails/062_1500062_放送局.png,s_1500062
63,1500063.png,22.998879,120.203776,237.59,-13.63,,明治公學校,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,公學校入學對象以臺灣本島人為主。此校創建於1912年，原為臺南女子公學校，初期設在育英堂，「月夜愁」演唱者林氏好即畢業於此。1924年遷至現址，四年後更名為明治公學校，1937年改為男女合校，現為成功國小。,,tnch1500063,tainan_old_photos/photos/063_1500063_明治公學校.png,p_1500063,tainan_old_photos/thumbnails/063_1500063_明治公學校.png,s_1500063
64,1500064.png,22.990842,120.203767,234.11,-8.89,,武德殿,1939,國立臺灣圖書館,臺南市役所《台南市要览》,原位於湯德章紀念公園東側，1936年遷至現址重建，二樓東半部劍道場、西半部柔道場是主要的利用範圍。一樓設有事務室、會議室、教師室、更衣室、盥洗室等附屬空間。現為市定古蹟、忠義國小禮堂。,,tnch1500064,tainan_old_photos/photos/064_1500064_武德殿.png,p_1500064,tainan_old_photos/thumbnails/064_1500064_武德殿.png,s_1500064
65,1500065.png,22.990848,120.203168,141.88,-4.89,,武德殿,1895-1945,中央研究院臺灣史研究所,費邁克集藏〈（臺南名所）神々しい臺南神社外苑より武德殿を望む〉,仿木構造之日式社殿風格和風建築，在國內現存同類型的建物當中，極具特殊性及代表性。日本於1895年成立武德會，屬於民間團體，但由官方警察體系推廣，並作為訓練場所，也提供民眾習武用途。,,tnch1500065,tainan_old_photos/photos/065_1500065_武德殿.png,p_1500065,tainan_old_photos/thumbnails/065_1500065_武德殿.png,s_1500065
66,1500066.png,22.983693,120.209745,309.60,-2.22,,法華寺,1895-1945,中央研究院臺灣史研究所,費邁克集藏〈（臺南名所）法華寺〉,市定古蹟，原明鄭參軍李茂春住所「夢蝶園」，現留存陳永華贈與的石碑「夢蝶園記」。1684年改建為佛寺，取名「法華寺」，日後加建池塘、半月樓與學堂等設施。今所見為戰後重建之水泥仿木結構建築，規模大幅縮小。,,tnch1500066,tainan_old_photos/photos/066_1500066_法華寺.png,p_1500066,tainan_old_photos/thumbnails/066_1500066_法華寺.png,s_1500066
67,1500067.png,22.989198,120.203913,199.06,-9.11,,南門市場,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,日治初期臺南市原設有東西兩大市場，但因人口眾多購買不便，陸續增設了幾座小市場，南門市場於1929年興建，設計容納二十間店舖，販賣鮮魚、牛肉豬肉、蔬果、雜貨等等。,,tnch1500067,tainan_old_photos/photos/067_1500067_南門市場.png,p_1500067,tainan_old_photos/thumbnails/067_1500067_南門市場.png,s_1500067
68,1500068.png,22.993500,120.198890,95.13,-13.39,,宮古座,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,於1928年興建的宮古座為新式劇場，由高橋順三郎負責建造，可容納七百名觀眾，有許多日本劇團、本地劇團曾在宮古座表演，也放映電影，各界活動經常在此舉辦，1933年曾遭人縱火，戰後改為延平戲院。,,tnch1500068,tainan_old_photos/photos/068_1500068_宮古座.png,p_1500068,tainan_old_photos/thumbnails/068_1500068_宮古座.png,s_1500068
69,1500069.png,22.985260,120.207966,178.29,3.29,,臺南師範學校,1924,國立臺灣大學圖書館,臺灣總督府《臺灣事情》大正十三年版,學校設立於1899年，校舍借用三山國王廟，1918年遷至赤崁樓，1922年現址校區完工啟用，以紅磚為主建材，造型樸素典雅。二戰遭砲擊損毀，戰後依原貌修建，現為市定古蹟、臺南大學行政及教學大樓「紅樓」。,,tnch1500069,tainan_old_photos/photos/069_1500069_臺南師範學校.png,p_1500069,tainan_old_photos/thumbnails/069_1500069_臺南師範學校.png,s_1500069
70,1500070.png,22.997834,120.204677,80.84,-12.42,,泰安商行,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,位於臺南市白金町五丁目三番地，店主為楊南海，出身於糖業家族，年青時即投入商業，先在高雄新濱町開店，專營砂糖、麥粉、肥料等等，業務擴及進口貿易，後來又在臺南開設新店，外牆上標有英文名「TAIAN」。,,tnch1500070,tainan_old_photos/photos/070_1500070_泰安商行.png,p_1500070,tainan_old_photos/thumbnails/070_1500070_泰安商行.png,s_1500070
71,1500071.png,22.992298,120.204177,20.36,-8.53,,臺南市御大典記念塔（消防組詰所）,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,為了記念1928年昭和天皇即位而興建，由臺南市當局自行設計，再由臺灣總督府技師井手薰審核調整，於1930年完工啟用，建築包含六層樓的觀矙塔樓，以及消防值班所，塔樓上懸掛火災報警用的警鐘。,,tnch1500071,tainan_old_photos/photos/071_1500071_臺南市御大典記念塔（消防組詰所）.png,p_1500071,tainan_old_photos/thumbnails/071_1500071_臺南市御大典記念塔（消防組詰所）.png,s_1500071
72,1500072.png,22.989675,120.213969,167.07,-2.49,,臺南舊神學校,1942,國立臺灣大學圖書館,東都書籍株式會社臺北支店《民俗臺灣》第貳卷下,臺南神學校創辦自1876年，1903年擴建新校舍，即今日「本館」，中央六角尖塔、左右對稱設計，現為市定古蹟。1913年改名臺南神學校，1940年政府要求任用日人為校長，校方不願接受選擇關閉。1948年復校更名臺南神學院。,,tnch1500072,tainan_old_photos/photos/072_1500072_臺南舊神學校.png,p_1500072,tainan_old_photos/thumbnails/072_1500072_臺南舊神學校.png,s_1500072
73,1500073.png,22.995268,120.202233,169.18,-14.24,,高島愛生堂,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,愛生堂店主為高島鈴三郎，於日治初期來臺，開設藥店販售西藥，又投資棉花、釀酒、石灰、製冰等產業，1925年他將藥店改裝為食堂與喫茶部，提供咖啡飲料、西洋點心與各式料理，愛生堂氣派的歐式建築風格是本町的地標之一。,,tnch1500073,tainan_old_photos/photos/073_1500073_高島愛生堂.png,p_1500073,tainan_old_photos/thumbnails/073_1500073_高島愛生堂.png,s_1500073
74,1500074.png,22.996512,120.219274,31.85,-2.67,,臺南高等工業學校,1934,中央研究院臺灣史研究所,臺灣建築會編《臺灣建築會誌》第六輯第三號,高等工業學校為成功大學前身，是當時直屬總督府的專門學校之一。本館建於1933年，作為行政大樓使用；採一字型平面，中央兩層，左右兩翼一層。後方為講堂，兩棟建築皆為創校的重要建築。,,tnch1500074,tainan_old_photos/photos/074_1500074_臺南高等工業學校.png,p_1500074,tainan_old_photos/thumbnails/074_1500074_臺南高等工業學校.png,s_1500074
75,1500075.png,22.996062,120.210601,125.77,-14.19,,臺南州商品陳列館,1935,國立臺灣圖書館,臺日社臺南支局出版《臺南市要覽》,最早由民間發起，設立於臺南西市場，但效益不彰，1923年當局決定修築新的商品陳列館，多方討論後，選址於臺南車站周邊的大正町一丁目，於1926年底落成啟用，戰後改為臺灣高等法院臺南分院，後因白河大地震毀損而拆除重建。,,tnch1500075,tainan_old_photos/photos/075_1500075_臺南州商品陳列館.png,p_1500075,tainan_old_photos/thumbnails/075_1500075_臺南州商品陳列館.png,s_1500075
76,1500076.png,22.996118,120.210690,140.63,-15.05,,臺南歷史館,1936,國立臺灣大學圖書館,細谷真美館《始政四十周年記念臺灣博覽會》,臺南商品陳列館原先是用於舉辦農產品、加工產品的商業展覽活動，臺灣總督府於1935年舉辦臺灣博覽會，將臺南商品陳列館暫改為臺灣歷史館第一會場，在此陳列歷史文物，並邀請專家學者舉辦學術演講與座談會。,,tnch1500076,tainan_old_photos/photos/076_1500076_臺南歷史館.png,p_1500076,tainan_old_photos/thumbnails/076_1500076_臺南歷史館.png,s_1500076
77,1500077.png,22.999079,120.212515,105.77,-7.54,,專賣局臺南支局,1941,國立臺灣大學圖書館,臺灣總督府專賣局《臺灣酒專賣史》下卷,1901年總督府在臺灣設置專賣局，下設支局。原本設在鹽埕的「臺南鹽務局」改稱臺南支局，負責處理鹽的專賣事務。二戰後該處曾為臺灣製鹽總廠臺南鹽場鹽埕場務所。,,tnch1500077,tainan_old_photos/photos/077_1500077_專賣局臺南支局.png,p_1500077,tainan_old_photos/thumbnails/077_1500077_專賣局臺南支局.png,s_1500077
78,1500078.png,23.004047,120.213383,347.21,-5.27,,臺南第一中學校,1923,國立臺灣大學圖書館,臺北市役所《行啟記念寫真帖》,1922年總督府頒布「新臺灣教育令」，在中學教育上實行「內臺共學制」，藉以促進融合與節省費用，因此僅招收日人的臺南中學校也更名為臺南第一中學校。圖為1923年裕仁天皇來臺巡視訪查期間留下的活動照片。,,tnch1500078,tainan_old_photos/photos/078_1500078_臺南第一中學校.png,p_1500078,tainan_old_photos/thumbnails/078_1500078_臺南第一中學校.png,s_1500078
79,1500079.png,23.004004,120.213599,331.34,-0.37,,臺南第一中學校,1895-1945,中央研究院臺灣史研究所,費邁克集藏〈臺南第一中學校〉,設立於1914年，是臺灣第二所官設中學。照片中校舍本館俗稱「紅樓」，改建後目前僅留存南邊的主入口。講堂建於1918年，仍大致維持原貌，屬於臺灣少見的仿羅馬式樣。,,tnch1500079,tainan_old_photos/photos/079_1500079_臺南第一中學校.png,p_1500079,tainan_old_photos/thumbnails/079_1500079_臺南第一中學校.png,s_1500079
80,1500080.png,22.987366,120.206666,191.87,-3.40,,臺南第一高等女學校,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,臺南高等女學校成立於1917年，初期僅招收日人子弟，之後才開放臺灣學生就讀，1922年更名為臺南州立臺南第一高等女學校。照片中的自強樓當時為行政及教學用途，入口門廊四面皆有拱圈，正面上方的圓山牆獨具特色。,,tnch1500080,tainan_old_photos/photos/080_1500080_臺南第一高等女學校.png,p_1500080,tainan_old_photos/thumbnails/080_1500080_臺南第一高等女學校.png,s_1500080
81,1500081.png,22.993738,120.205250,257.36,-9.26,,臺南測候所,1899,中央研究院臺灣史研究所,臺灣總督府臺北測候所《臺灣氣象報文》第一,建於1897年，是當時臺灣總督府用以掌握氣象狀況的設施。外觀以中央風力塔為中心，環繞十八角形磚造房舍。空間由三個同心圓組成，一、二兩圈之間是走道，二、三之間另有中央通道與辦公室。,,tnch1500081,tainan_old_photos/photos/081_1500081_臺南測候所.png,p_1500081,tainan_old_photos/thumbnails/081_1500081_臺南測候所.png,s_1500081
82,1500082.png,22.993502,120.205215,310.73,-4.83,,臺南測候所,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,臺灣總督府通信課長土居通豫籌畫臺灣的氣象觀測機構，臺南測候所便是首批設立的氣象設施之一。測候所的外觀十分特殊，中央白色圓塔高約兩層樓、俗稱「胡椒管」。,,tnch1500082,tainan_old_photos/photos/082_1500082_臺南測候所.png,p_1500082,tainan_old_photos/thumbnails/082_1500082_臺南測候所.png,s_1500082
83,1500083.png,22.987912,120.207928,260.29,-0.70,,開山神社,1938,中央研究院臺灣史研究所,山崎鋆一郎著《臺灣の風光》,前身為1662年民間所籌建的「開山王廟」，主祀鄭成功。日治時期稱為開山神社，戰後改成「延平郡王祠」。目前所見中國北方宮殿式樣乃是改建後的樣貌，已非當時的福州式建築。,,tnch1500083,tainan_old_photos/photos/083_1500083_開山神社.png,p_1500083,tainan_old_photos/thumbnails/083_1500083_開山神社.png,s_1500083
84,1500084.png,22.987802,120.208062,274.94,-6.62,,開山神社,1914,中央研究院臺灣史研究所,臺灣寫真會發行《臺灣寫真帖》第參集,明鄭時期的「開山王廟」，清領時官民在境內籌建福州式建築。日治時期該處被列入縣社，改稱「開山神社」。,,tnch1500084,tainan_old_photos/photos/084_1500084_開山神社.png,p_1500084,tainan_old_photos/thumbnails/084_1500084_開山神社.png,s_1500084
85,1500085.png,22.987976,120.208370,254.26,-5.24,,開山神社,1935,國立臺灣圖書館,臺日社臺南支局出版《臺南市要覽》,延平郡王祠在日治時期稱為開山神社，是日人在臺最早設立的神社，期間增建了拜殿與鳥居，還曾歷經大規模的改建。,,tnch1500085,tainan_old_photos/photos/085_1500085_開山神社.png,p_1500085,tainan_old_photos/thumbnails/085_1500085_開山神社.png,s_1500085
86,1500086.png,23.011275,120.223031,258.29,-0.59,,開元寺,1915,中央研究院臺灣史研究所,臺灣寫真會發行《臺灣寫真帖》第五集,開元寺原是鄭成功之子鄭經建立的私人宅邸，稱為北園別館，1690年更建為「海會寺」。建築格局是臺灣少見的「伽藍七堂」，伽藍意為「寺院」，七堂則是佛寺的配置之一。,,tnch1500086,tainan_old_photos/photos/086_1500086_開元寺.png,p_1500086,tainan_old_photos/thumbnails/086_1500086_開元寺.png,s_1500086
87,1500087.png,23.011462,120.223005,258.22,-2.21,,開元寺,1895-1945,中央研究院臺灣史研究所,費邁克集藏〈臺南‧風雅なる開元寺〉,佛教自明鄭時期傳入臺灣。開元寺是臺灣第一座官建佛寺，前身為鄭經的承天府行臺（北園別館）。照片中為佛寺的出入口「三川門」，造型樸實，屋頂裝飾雙龍護塔，有鎮壓火災之意。,,tnch1500087,tainan_old_photos/photos/087_1500087_開元寺.png,p_1500087,tainan_old_photos/thumbnails/087_1500087_開元寺.png,s_1500087
88,1500088.png,22.991679,120.193525,294.31,-13.04,,開門樓,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,位於南勢街（市區改正後為新町）的開門樓為日治初期即設立的遊廓，為日式貸座敷，所在之處為當時的花街柳巷，許多遊女在此攬客。,,tnch1500088,tainan_old_photos/photos/088_1500088_開門樓.png,p_1500088,tainan_old_photos/thumbnails/088_1500088_開門樓.png,s_1500088
89,1500089.png,22.989144,120.204265,191.16,-2.07,,愛國婦人會臺灣本部臺南州支部,1941,國立臺灣大學圖書館,愛國婦人會臺灣本部《愛國婦人會臺灣本部沿革誌》,愛國婦人會總部位在東京，初期從事勞軍活動，其後也包括社會服務。臺南支部設立於1904年，現址建築落成時間為1940年，包括前棟兩層樓的會館以及後棟的講習室。,,tnch1500089,tainan_old_photos/photos/089_1500089_愛國婦人會臺灣本部臺南州支部.png,p_1500089,tainan_old_photos/thumbnails/089_1500089_愛國婦人會臺灣本部臺南州支部.png,s_1500089
90,1500090.png,23.000019,120.203200,11.64,-9.74,,臺南慈惠堂,1933,國立臺灣大學圖書館,臺灣總督府文教局《臺灣社會事業要覽》,清代時為地方仕紳設立的義塚、普濟堂、育嬰堂等救濟措施，日治時期合併為慈惠院，掌管救濟事業、偏遠醫療、盲啞教育等職能，於1928年在寶町一丁目興建新院舍，設有診療所、療養院、病患收容所，現為臺南仁愛之家。,,tnch1500090,tainan_old_photos/photos/090_1500090_臺南慈惠堂.png,p_1500090,tainan_old_photos/thumbnails/090_1500090_臺南慈惠堂.png,s_1500090
91,1500091.png,22.995673,120.205703,150.23,-10.26,,臺南圖書館,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,建於1919年，位在當時臺南公館（明鄭時期吳園所在地）的西北角，為臺南公共圖書館之濫觴。戰後，臺南州分成五個縣市，各自發展其圖書館事業。直到70年代，才將館舍遷至目前臺南公園境內。,,tnch1500091,tainan_old_photos/photos/091_1500091_臺南圖書館.png,p_1500091,tainan_old_photos/thumbnails/091_1500091_臺南圖書館.png,s_1500091
92,1500092.png,22.996775,120.197535,150.60,-7.45,,臺南友信會,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,於1913年設立的臺南友信會為地方互助信用組合，提供存款與小額貸款服務，會員以經商者為主，原會址設在南勢街，建築正面半圓型外牆上裝飾以「友信」二字，戰後改為臺南市第二信用合作社。,,tnch1500092,tainan_old_photos/photos/092_1500092_臺南友信會.png,p_1500092,tainan_old_photos/thumbnails/092_1500092_臺南友信會.png,s_1500092
93,1500093.png,22.992379,120.204477,187.78,-10.25,,臺南廳,1916,中央研究院臺灣史研究所,臺灣總督府編《共進會記念臺灣寫真帖》,臺南廳於1910年代市區改正時，原有廳舍遭風雨受損，因而籌建新臺南廳舍，由總督府技師森山松之助設計、井手薰監督，選址購地於三界壇街、牛屎埕街一帶，將該區原有的民居、寺廟與臺灣銀行宿舍拆除後興建新廳舍，正面主建築於1916年落成啟用。,,tnch1500093,tainan_old_photos/photos/093_1500093_臺南廳.png,p_1500093,tainan_old_photos/thumbnails/093_1500093_臺南廳.png,s_1500093
94,1500094.png,22.992216,120.204837,220.02,-12.29,,臺南州廳,1935,國立臺灣圖書館,臺日社臺南支局出版《臺南市要覽》,臺南州廳主建築於1916年完工後，占地約三百八十坪，為原先設計的三分之一，臺南廳長、庶務課、財物課與農會均遷至此地辦公，後來又繼續增建，由臺北的桂商會負責建築工事，於1920年竣工，前後建築總經費為五十七萬圓。,,tnch1500094,tainan_old_photos/photos/094_1500094_臺南州廳.png,p_1500094,tainan_old_photos/thumbnails/094_1500094_臺南州廳.png,s_1500094
95,1500095.png,22.992412,120.204599,205.36,-9.23,,臺南州廳,1912-1926,中央研究院臺灣史研究所,費邁克集藏〈臺南州廳〉,臺南州廳為馬薩式樣建築，造型古典莊重，建築主體為鋼筋混凝土搭配紅磚，屋頂有牛眼窗與老虎窗，正門入口設有十二根立柱，有圓柱、方柱與方壁柱三種型式，兩側有圓型衛塔，外牆下部為洗石子，上部為紅磚，二戰時曾遭美軍轟炸。,,tnch1500095,tainan_old_photos/photos/095_1500095_臺南州廳.png,p_1500095,tainan_old_photos/thumbnails/095_1500095_臺南州廳.png,s_1500095
96,1500096.png,22.991458,120.204871,304.67,-10.63,,臺南市役所,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,臺南於1920年實施市制，首任市尹為荒卷鐵之助，起初臺南市役所的辦公地點位於臺南州廳，負責農業、工業、商業、金融、警察、水電、交通、教育、衛生等等各項業務，1930年遷址到當時的高等商業學校舊校舍。,,tnch1500096,tainan_old_photos/photos/096_1500096_臺南市役所.png,p_1500096,tainan_old_photos/thumbnails/096_1500096_臺南市役所.png,s_1500096
97,1500097.png,22.996869,120.212076,57.99,-13.10,,臺南驛,1939,中央研究院臺灣史研究所,臺灣總督府交通局鐵道部《風光台湾》,臺南車站為折衷式樣建築，整體外觀為現代主義的簡潔風格，搭配局部古典裝飾元素，另包含旅店、商店、地下道等設施，照片中可看到臺南車站前的大榕樹，以及巴士、汽車、腳踏車、人力車等各種交通工具。,,tnch1500097,tainan_old_photos/photos/097_1500097_臺南驛.png,p_1500097,tainan_old_photos/thumbnails/097_1500097_臺南驛.png,s_1500097
98,1500098.png,22.997346,120.212163,101.55,-2.08,,臺南驛,1913,國立臺灣大學圖書館,臺灣總督府《The Statistical Summary of Taiwan》,臺灣西部縱貫鐵路於1899年開始從南北兩頭鋪設，負責建設的鐵道部長為長谷川謹介，第一代臺南車站為木造建築，於1900年年底啟用，營運臺南到高雄之間的鐵路交通，西部縱貫鐵路於1908年全線通車。,,tnch1500098,tainan_old_photos/photos/098_1500098_臺南驛.png,p_1500098,tainan_old_photos/thumbnails/098_1500098_臺南驛.png,s_1500098
99,1500099.png,22.996811,120.212058,61.82,-2.75,,臺南驛,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,臺南車站位於市區東北側，鐵路開通後成為臺南市的玄關，年度載客量可達百萬人次，同時也是南部地區大宗貨物的集散地，運送木材、稻米、煤炭、魚乾等物資，照片中可看到臺南車站前的大榕樹。,,tnch1500099,tainan_old_photos/photos/099_1500099_臺南驛.png,p_1500099,tainan_old_photos/thumbnails/099_1500099_臺南驛.png,s_1500099
100,1500100.png,22.997063,120.212109,85.83,-5.88,,臺南驛,1939,國立臺灣圖書館,臺南市役所《台南市要览》,第二代臺南車站由宇敷赳夫設計，為因應西部縱貫鐵路雙軌化而重建，於1936年完工，為鋼筋混凝土建築，部分建材採用了原有的舊鐵軌，設有食堂、會議室、貴賓室、旅店、商店，以及電燈、電話、號誌、擴音設備等設施，建築費用總共為四十萬圓。,,tnch1500100,tainan_old_photos/photos/100_1500100_臺南驛.png,p_1500100,tainan_old_photos/thumbnails/100_1500100_臺南驛.png,s_1500100
101,1500101.png,22.997171,120.212165,90.68,-10.05,,臺南驛,1895-1945,中央研究院臺灣史研究所,費邁克集藏〈（臺南名所）臺南驛全景、臺南銀座通り〉,臺灣西部縱貫鐵路中南部段於1927年展開複線工程，高雄到臺南段於1933年完工，可增開列車班次以載運更多旅客，臺南車站也隨之改建，當時的火車座位分為三等，票價隨等次倍增，西部縱貫鐵路的主要車站包含基隆、臺北、臺中、嘉義、高雄、屏東。,,tnch1500101,tainan_old_photos/photos/101_1500101_臺南驛.png,p_1500101,tainan_old_photos/thumbnails/101_1500101_臺南驛.png,s_1500101
102,1500102.png,22.997216,120.212169,100.25,-6.98,,臺南驛,1895-1945,中央研究院臺灣史研究所,費邁克集藏〈臺南名勝繪葉書〉,臺南車站是臺南市聯外的交通要道，許多旅客搭乘火車到此遊覽觀光，在當時的旅遊指南書中，臺南車站的章節往往搭配臺南市介紹，包含著名商店、餐廳旅館、名勝古蹟等等，照片中可看到臺南車站正面的時鐘。,,tnch1500102,tainan_old_photos/photos/102_1500102_臺南驛.png,p_1500102,tainan_old_photos/thumbnails/102_1500102_臺南驛.png,s_1500102
103,1500103.png,22.997374,120.212057,261.57,-8.77,,臺南驛前,1930,國立臺灣大學圖書館,小山權太郎編纂《臺南市大觀》,臺南車站前的廣場，右前方的道路通往明治町，現為成功路，最右方的建築為三井物產，戰後改為中華日報，中間的日式建築為東屋旅館，負責人為山口富太，現址為臺南大飯店。,,tnch1500103,tainan_old_photos/photos/103_1500103_臺南驛前.png,p_1500103,tainan_old_photos/thumbnails/103_1500103_臺南驛前.png,s_1500103
104,1500104.png,22.993855,120.211709,316.10,-1.47,,臺南州立臺南盲啞學校,1895-1945,中央研究院臺灣史研究所,費邁克集藏〈臺南州立 臺南盲啞學校〉,盲啞學校源於1891年甘為霖神父創辦的訓瞽堂，其後在神父的奔走下由臺南慈惠院設立盲人教育部，並於1915年成立臺南盲啞學校，七年後由臺南州廳接管，改稱為臺南州立臺南盲啞學校。現為國立臺南大學附屬啟聰學校。,,tnch1500104,tainan_old_photos/photos/104_1500104_臺南州立臺南盲啞學校.png,p_1500104,tainan_old_photos/thumbnails/104_1500104_臺南州立臺南盲啞學校.png,s_1500104
105,1500105.png,22.992630,120.212788,88.04,-8.76,,臺南州知事官邸,1895-1945,中央研究院臺灣史研究所,費邁克集藏，SEIUNDO PRINTING CO. LTD.〈知事官邸（臺南州）〉,最初為臺南縣知事官邸，日治時期歷經多次地方改制，用途或名稱上皆有所變化。其中1920年臺南廳改為臺南州，宅邸除了繼續作為知事官邸，還是當時總督或皇族的下榻之處。,,tnch1500105,tainan_old_photos/photos/105_1500105_臺南州知事官邸.png,p_1500105,tainan_old_photos/thumbnails/105_1500105_臺南州知事官邸.png,s_1500105
106,1500106.png,22.992596,120.212950,86.56,-6.45,,臺南總督官邸,1908,中央研究院臺灣史研究所,臺灣總督府官房文書課編《臺灣寫真帖》,建於1900年，正面入口處上方原為巴洛克風格的弧形山頭，但戰後遭到損毀，目前所見為簡單的山牆。2002年，相關研究人員在屋內中脊大樑上發現日人當時釘掛的「棟札」，就此證實了官邸的建造日期及原始名稱。,,tnch1500106,tainan_old_photos/photos/106_1500106_臺南總督官邸.png,p_1500106,tainan_old_photos/thumbnails/106_1500106_臺南總督官邸.png,s_1500106
